,sensor_id,lon,lat
241,73270,-1.6113052096266267,55.0395786563364
242,79150,-1.5502889999999974,54.980095000000006
243,79150,-1.5502889999999974,54.980095000000006
244,79158,-1.7188330000000018,54.995352000000004
245,79158,-1.7188330000000018,54.995352000000004
246,79159,-1.590481000000004,55.00763399999999
247,79159,-1.590481000000004,55.00763399999999
248,79162,-1.5960499999999973,54.90278499999998
249,79162,-1.5960499999999973,54.90278499999998
250,79164,-1.6141269999999974,54.972662
251,79164,-1.6141269999999974,54.972662
252,79165,-1.6093270000000037,54.991308
253,79165,-1.6093270000000037,54.991308
254,79184,-1.5587510000000002,54.996487999999985
255,79184,-1.5587510000000002,54.996487999999985
256,79191,-1.6034100000000018,54.96564999999999
257,79191,-1.6034100000000018,54.96564999999999
258,79194,-1.7042980000000039,55.000747999999994
259,79194,-1.7042980000000039,55.000747999999994
260,79201,-1.4683630000000039,55.015286999999994
261,79201,-1.4683630000000039,55.015286999999994
262,79202,-1.6904130000000002,54.95733099999999
263,79202,-1.6904130000000002,54.95733099999999
264,79206,-1.5762090000000004,54.984303000000004
265,79206,-1.5762090000000004,54.984303000000004
266,79207,-1.583791000000004,54.99115900000001
267,79207,-1.583791000000004,54.99115900000001
268,79217,-1.4158044667730665,54.91772940222784
269,79218,-1.4163325732966419,54.91788914909054
270,79219,-1.4430569018428228,54.91428894409958
271,79220,-1.4445932254393312,54.91428678538616
272,79238,-1.628384949971171,54.95647826432129
273,79239,-1.6227860825750697,54.96671004682099
274,79240,-1.62262829142787,54.966880297115175
275,79241,-1.5817209926445004,55.01427480950758
276,79242,-1.581721043499997,55.014274808
277,79243,-1.581590318438579,55.014809045033694
278,79244,-1.5815903694999964,55.01480904399998
279,79247,-1.4760039345492608,54.87910035389137
280,79248,-1.4774513646167877,54.87928201566726
281,79506,-1.6265585140925556,54.95985612005319
282,79515,-1.7104840000000021,54.99143499999999
283,79515,-1.7104840000000021,54.99143499999999
284,79516,-1.637606000000004,54.969171999999986
285,79516,-1.637606000000004,54.969171999999986
286,79521,-1.6486050000000019,54.977836
287,79521,-1.6486050000000019,54.977836
288,79522,-1.6246210000000008,55.007406999999986
289,79522,-1.6246210000000008,55.007406999999986
290,79525,-1.6176760000000032,54.979118000000014
291,79525,-1.6176760000000032,54.979118000000014
292,79526,-1.4670973727975705,54.977494470467434
293,79527,-1.4674550598930223,54.977617378541474
294,79528,-1.4609665188545677,54.97142483295515
295,79529,-1.448184014380311,54.97751906961086
296,79530,-1.461404994729863,54.97134590018054
297,79531,-1.4478316497245847,54.977580378580946
298,79534,-1.944253999999997,55.15435399999999
299,79535,-1.807715999999997,54.829814999999996
300,79537,-1.5380649999999974,55.132825000000004
301,79538,-1.6704769999999978,54.86097299999999
302,79539,-1.489342999999996,54.894495000000006
303,79540,-1.969453,55.033951
304,79541,-1.5218770000000017,55.17499699999999
305,79543,-1.9028340000000004,54.76163100000001
306,79544,-1.3935659999999992,54.938987
307,79545,-1.6849699999999985,55.000299000000005
308,79546,-1.3402869999999978,54.76077599999999
309,79547,-1.3657200000000036,54.82381800000001
310,79564,-1.5850040000000019,54.912211
311,79564,-1.5850040000000019,54.912211
312,79565,-1.6230429999999991,54.970093
313,79670,-1.6143069999999993,55.033344
314,79682,-1.8818809999999957,55.019519999999986
315,79683,-1.5914709464179466,54.759898490847796
316,79684,-1.5914709464179466,54.759898490847796
317,79685,-1.582470670275114,54.76075726582625
318,79686,-1.5822765011187334,54.76075211330144
319,79687,-1.5933934408998918,54.76964190648107
320,79688,-1.5934207598207413,54.769242095705735
321,79689,-1.5831222928456725,54.7678049535667
322,79690,-1.5831226165765193,54.767773500535895
323,79691,-1.596168451042093,54.780547367676334
324,79692,-1.5959121683972326,54.78051955670871
325,79695,-1.5973886893780485,54.76956084141205
326,79696,-1.5973039162043772,54.76948866782194
327,79697,-1.5934138673544578,54.79776532822885
328,79698,-1.5936699004302821,54.79782459577413
329,79699,-1.59199983141419,54.78690930991774
330,79700,-1.5919287668306779,54.78701691304348
331,79701,-1.6071377670639533,54.795037885039044
332,79702,-1.5993945131776348,54.794921893797174
333,79703,-1.5907743285038296,54.81435910450784
334,79704,-1.5910778021518515,54.8143556327168
335,79705,-1.5887762837438866,54.78735682921368
336,79706,-1.5889243240251218,54.7873258779378
337,79707,-1.5827869720775303,54.78156699514414
338,79708,-1.582974141877316,54.781509224653696
339,79709,-1.576133757771013,54.777697716564546
340,79710,-1.5761182495325932,54.77769317059885
341,79711,-1.576133757771013,54.777697716564546
342,79712,-1.5684604971164864,54.77778749064771
343,79726,-1.5531853435000025,54.78477277100001
344,79727,-1.5533710345000036,54.78485433000001
345,79730,-1.5519993854999954,54.78031995550001
346,79731,-1.552264281999996,54.780271543
347,79732,-1.5246674114999956,54.79857939250002
348,79733,-1.5248766660000026,54.798643124499996
349,79736,-1.5288844909999977,54.762590225499984
350,79737,-1.5289385634999983,54.762617384999984
351,79738,-1.5601342039999981,54.7657692995
352,79739,-1.5600012674999968,54.7658452105
353,79740,-1.5712118484999988,54.76900839449999
354,79741,-1.5712985219999966,54.768896366
355,79742,-1.6122855915000007,54.758065509000005
356,79743,-1.6121149079999992,54.758037996499986
357,79744,-1.5906492400000034,54.79128579849999
358,79745,-1.5905015960000004,54.79127631399999
359,79748,-1.596372243,54.76707265
360,79749,-1.5963184684999971,54.767009565999984
361,79775,-1.6202828745000037,54.956066163500005
362,79776,-1.6057695789999975,54.96263475499999
363,79777,-1.6164772619999992,54.928044697000004
364,79778,-1.6178771119999997,54.957923538
365,79779,-1.6059033800000007,54.962527353
366,79780,-1.6163118849999984,54.92820592899998
367,79781,-1.6050825605000023,54.96899030750001
368,79782,-1.4452808134999982,55.0237804745
369,79783,-1.445148422999997,55.023739431
370,79784,-1.532306000999997,54.98996698749999
371,79785,-1.6054582800000012,54.96890615899999
372,79786,-1.5234874309999953,54.99028300249999
373,79787,-1.471373131499997,54.99569780849999
374,79788,-1.5001780439999985,55.04306476249998
375,79789,-1.5005685314999975,55.04312477649997
376,79790,-1.532360854999997,54.98995371899999
377,79791,-1.4574011089999983,55.026288656999995
378,79792,-1.457304952,55.02645896650001
379,79793,-1.4509547295,55.0166804235
380,79794,-1.4987801969999976,54.9970719435
381,79795,-1.5230875624999978,54.990398275000004
382,79796,-1.4715357675,54.99581084
383,79797,-1.5083488134999965,55.028230367999996
384,79798,-1.5049815274999996,55.001253522499994
385,79799,-1.5259853344999978,54.99250790149998
386,79800,-1.5049497175000006,55.001298324000004
387,79801,-1.5049137689999987,55.034048548499996
388,79802,-1.504930397999995,55.03396773999997
389,79803,-1.5084257649999986,55.02833401899998
390,79804,-1.535736039500003,54.990676546
391,79805,-1.4508444574999977,55.016738337999996
392,79806,-1.498889333499998,54.997094861499995
393,79807,-1.5110209655000035,54.995009790999994
394,79808,-1.5359237295000032,54.99066378049999
395,79809,-1.5111069750000001,54.995005642
396,79810,-1.591204533499996,55.012783557
397,79811,-1.5912588499999991,55.01282417649999
398,79812,-1.5258913970000012,54.99252101399999
399,79813,-1.4114650630000016,54.97186534499999
400,79814,-1.4172652475000014,54.97154730749999
401,79815,-1.4115270855000042,54.971897096000006
402,79816,-1.4170079034999987,54.97151911799998
403,79817,-1.4514315165000016,54.95014742449999
404,79818,-1.4508219869999965,54.95019409999999
405,79819,-1.6011918169999955,54.97069399149999
406,79820,-1.6015049649999962,54.970618628499984
407,79821,-1.6096999999999957,54.967499999999994
408,79822,-1.6096999999999957,54.967499999999994
409,79829,-1.6016799999999962,54.96980000000001
410,79830,-1.6016799999999962,54.96980000000001
411,79883,-1.6104999999999992,54.97209999999999
412,79884,-1.6104999999999992,54.97209999999999
413,79940,-1.6205870000000013,55.113789000000004
414,79941,-1.7276170000000008,55.16619399999998
415,79943,-1.8712109999999977,55.177213
416,79944,-1.8732129999999965,55.04062799999999
417,79945,-1.741713000000001,55.049406999999995
418,79946,-1.9175830000000005,55.15164299999998
419,79947,-1.6944999999999992,55.167633999999964
420,79948,-1.7612940000000001,55.162490000000005
